0,41,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,42,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,43,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,44,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,45,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,46,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,47,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,48,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,49,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,50,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,51,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,52,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,53,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,54,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
0,55,10,0.7242476851851856,"[(1, 25), (1, 68), (1, 39), (0, 35), (0, 93), (3, 58), (3, 84), (2, 64), (4, 16), (4, 9), (4, 108), (4, 104), (4, 41), (4, 93), (5, 107), (5, 90), (6, 111), (6, 10), (6, 54), (6, 85), (7, 43), (8, 21), (8, 90), (9, 93), (10, 54), (10, 85), (10, 102), (10, 92), (11, 28), (11, 24), (11, 69), (13, 40), (13, 26), (13, 59), (12, 89), (12, 60), (14, 71), (14, 86), (14, 25), (15, 97), (16, 93), (17, 62), (17, 65), (18, 40), (18, 26), (18, 22), (19, 94), (20, 76), (20, 65), (21, 32), (23, 90), (24, 50), (24, 84), (24, 90), (25, 39), (25, 47), (25, 51), (27, 76), (27, 65), (28, 50), (28, 69), (28, 78), (29, 51), (30, 44), (31, 55), (33, 37), (34, 43), (35, 94), (36, 37), (37, 105), (37, 103), (37, 109), (37, 95), (38, 71), (38, 86), (39, 68), (41, 93), (42, 71), (42, 86), (42, 68), (43, 45), (43, 79), (44, 112), (44, 75), (46, 83), (46, 73), (47, 68), (47, 51), (48, 75), (49, 73), (50, 78), (50, 90), (51, 68), (52, 74), (52, 84), (53, 73), (54, 111), (54, 92), (55, 94), (56, 62), (56, 76), (56, 65), (57, 75), (58, 114), (58, 63), (60, 106), (61, 62), (62, 105), (62, 70), (62, 87), (62, 95), (62, 76), (65, 70), (65, 113), (66, 75), (67, 83), (70, 76), (71, 96), (72, 107), (73, 110), (73, 114), (75, 107), (76, 113), (77, 78), (80, 110), (80, 93), (80, 94), (81, 107), (82, 94), (83, 110), (83, 88), (84, 107), (85, 111), (85, 102), (85, 92), (86, 96), (88, 107), (89, 106), (91, 93), (92, 102), (94, 101), (98, 107), (99, 100), (102, 111)]"
